company_id;round_nr;round_date;amount
c:6669;1;01.04.2009;366102
c:6669;2;22.08.2009;7104
c:6669;3;01.01.2010;1794
c:16283;1;14.02.2005;32074728
c:16283;2;29.03.2007;1557779
c:16283;3;20.01.2008;212302
c:16283;4;28.12.2009;6255191
c:65620;1;30.03.2010;2600000
c:42668;1;17.02.2005;29971508
c:42668;2;26.03.2007;4964114
c:42668;3;25.04.2007;5064378
c:65806;1;01.08.2010;185710
c:65806;2;01.04.2012;1114290
c:22898;1;18.07.2006;7500000
c:16191;1;21.09.2006;25385836
c:16191;2;16.05.2007;574128
c:16191;3;18.03.2010;40036
c:5192;1;24.08.2005;12189403
c:5192;2;30.10.2005;10421969
c:5192;3;04.10.2010;11488628
c:1043;1;02.08.2005;1452442
c:1043;2;03.11.2007;60204
c:1043;3;08.02.2013;8137354
c:498;1;01.02.2007;5142471
c:498;2;29.01.2010;444548
c:498;3;05.02.2010;162981
c:3949;1;01.07.2005;23138564
c:3949;2;02.09.2007;1829336
c:3949;3;26.04.2010;2532100
c:4829;1;01.02.2007;1191095
c:4829;2;26.03.2009;2852868
c:4829;3;11.12.2009;1669153
c:4829;4;12.07.2010;2860343
c:4829;5;03.05.2011;1826541
c:30290;1;25.11.2008;350000
c:1491;1;03.12.2007;6390299
c:1491;2;06.09.2008;1119566
c:1491;3;03.05.2010;2440135
c:15645;1;31.08.2005;10331219
c:15645;2;30.11.2005;299570
c:15645;3;03.08.2008;55463
c:15645;4;17.07.2009;10419
c:15645;5;29.12.2009;3329
c:54177;1;09.08.2005;200000
c:16770;1;02.08.2005;12174134
c:16770;2;24.12.2006;24699181
c:16770;3;24.07.2008;2705057
c:16770;4;29.07.2009;2424902
c:16770;5;05.10.2009;6996726
c:107;1;01.02.2005;7127557
c:107;2;24.09.2005;9535617
c:107;3;13.03.2006;8280971
c:107;4;01.09.2007;55855
c:50727;1;29.09.2010;2277843
c:50727;2;02.04.2011;188368
c:50727;3;01.08.2011;2108789
c:26368;1;02.07.2009;18933208
c:26368;2;30.10.2009;9066792
c:22291;1;20.03.2003;2623005
c:22291;2;14.10.2004;1731995
c:17857;1;31.10.2007;15000000
c:15888;1;28.06.2007;3170000
c:10751;1;01.01.2007;1098686
c:10751;2;25.04.2011;1201314
c:458;1;01.08.2007;163312
c:458;2;01.09.2007;291688
c:45525;1;03.11.2006;13000000
c:3193;1;22.01.2007;15000000
c:28456;1;25.06.2012;3800000
c:36920;1;01.11.2009;214294029
c:36920;2;11.07.2010;65282424
c:36920;3;09.08.2010;8123454
c:36920;4;12.09.2011;11268457
c:36920;5;10.11.2011;531636
c:35712;1;01.08.2006;1000000
c:21492;1;09.05.2008;471613
c:21492;2;01.03.2009;10028387
c:28768;1;25.02.2005;5522288
c:28768;2;02.03.2006;3077712
c:27741;1;01.08.2006;4894284
c:27741;2;07.10.2008;105716
c:150658;1;01.01.2011;282218
c:150658;2;14.11.2011;2022781
c:34338;1;01.07.2009;25000
c:45111;1;26.02.2007;4000000
c:3178;1;15.08.2007;11098758
c:3178;2;05.08.2008;3501242
c:35402;1;24.01.2006;39608204
c:35402;2;04.02.2006;389208
c:35402;3;13.09.2010;4002588
c:22856;1;01.12.2008;1619845
c:22856;2;12.05.2009;54070
c:22856;3;26.05.2011;149007
c:1224;1;01.03.2006;11649653
c:1224;2;22.10.2006;834881
c:1224;3;22.04.2007;8215683
c:1224;4;15.10.2007;5488769
c:1224;5;07.03.2010;883799
c:1224;6;05.12.2010;2494900
c:1224;7;24.01.2012;347316
c:1234;1;01.05.2006;13290701
c:1234;2;22.02.2008;6571616
c:1234;3;16.09.2008;8028923
c:1234;4;17.02.2011;5108760
c:149809;1;01.08.2011;14397
c:149809;2;01.03.2012;110603
c:13733;1;08.02.2008;3396533
c:13733;2;21.05.2010;603467
c:39106;1;06.11.2007;10000000
c:5306;1;31.08.2006;6000000
c:16303;1;16.08.2005;25000000
c:43188;1;04.11.2010;519253
c:43188;2;06.03.2011;108580
c:43188;3;13.11.2012;3122167
c:33507;1;15.01.2010;3000000
c:68157;1;01.08.2010;491987
c:68157;2;01.08.2011;663013
c:2395;1;15.12.2005;10000000
c:38220;1;01.08.2008;3000000
c:49815;1;23.11.2010;1938962
c:49815;2;13.06.2011;9561038
c:249;1;01.08.2005;5000000
c:22027;1;08.03.2005;21538218
c:22027;2;23.10.2006;7461782
c:109;1;01.01.2007;27063259
c:109;2;09.04.2007;7088907
c:109;3;04.06.2007;29106
c:109;4;13.03.2010;133211
c:109;5;29.07.2010;8792
c:109;6;23.07.2012;376725
c:43948;1;09.03.2005;10419169
c:43948;2;01.07.2007;1630831
c:765;1;01.03.2008;5588033
c:765;2;02.08.2008;592360
c:765;3;05.10.2010;5819607
c:19257;1;10.03.2009;5500000
c:25827;1;26.06.2009;4592372
c:25827;2;11.04.2011;18643407
c:25827;3;25.08.2011;764221
c:5932;1;12.09.2005;6255633
c:5932;2;07.09.2006;3744367
c:35157;1;12.09.2002;9041228
c:35157;2;09.11.2010;7444991
c:35157;3;10.11.2010;2523452
c:8596;1;01.07.2008;5000000
c:19861;1;17.01.2005;13307965
c:19861;2;13.03.2005;4062906
c:19861;3;12.09.2007;908315
c:19861;4;21.11.2008;232912
c:19861;5;20.04.2010;402478
c:45114;1;16.05.2007;4000000
c:23533;1;30.03.2010;2016864
c:23533;2;11.03.2011;13296
c:23533;3;13.09.2011;722
c:25325;1;23.08.2008;5000000
c:8351;1;01.01.2001;20500000
c:10392;1;18.01.2010;4070298
c:10392;2;09.08.2012;9179702
c:26128;1;02.04.2007;12000000
c:2808;1;01.01.2007;7062853
c:2808;2;20.06.2007;2113846
c:2808;3;09.09.2008;2312988
c:10581;1;05.09.2008;4000000
c:190214;1;01.06.2012;355000
c:1674;1;01.01.2006;115739
c:1674;2;01.04.2006;2261
c:170;1;01.09.2004;27579057
c:170;2;25.07.2009;7395135
c:170;3;23.09.2010;2777836
c:170;4;01.05.2012;2647972
c:27740;1;21.10.2008;3000000
c:46186;1;12.09.2005;2904679
c:46186;2;01.01.2007;16795321
c:43162;1;01.03.2007;13331828
c:43162;2;12.03.2007;4468172
c:43233;1;05.03.2010;3436082
c:43233;2;21.06.2010;21991905
c:43233;3;05.04.2012;32072013
c:1498;1;01.09.2006;12776318
c:1498;2;21.08.2007;4223628
c:1498;3;14.01.2009;200054
c:31514;1;01.01.2008;65495
c:31514;2;07.02.2009;333071
c:31514;3;14.02.2009;25623
c:31514;4;02.03.2009;22515
c:31514;5;02.03.2009;2188
c:31514;6;02.04.2009;3152
c:31514;7;04.12.2009;5238
c:58944;1;01.09.2010;3035954
c:58944;2;25.12.2011;511486
c:58944;3;14.07.2012;5452900
c:58944;4;20.09.2012;9499660
c:40197;1;17.01.2010;12000000
c:51023;1;06.07.2010;62932736
c:51023;2;15.12.2010;447067264
c:13168;1;07.12.2005;8793227
c:13168;2;06.09.2006;9456773
c:649;1;30.10.2006;31905459
c:649;2;11.08.2007;2268562
c:649;3;31.01.2010;1411365
c:649;4;21.04.2010;5914633
c:52694;1;09.06.2005;1000000
c:3080;1;18.05.2007;5000000
c:28424;1;19.11.2008;7847867
c:28424;2;15.02.2011;1375331
c:28424;3;30.08.2011;33476802
c:280611;1;19.11.2013;12000000
c:30537;1;11.07.2005;11909144
c:30537;2;07.02.2006;10390856
c:14656;1;01.01.2006;367886
c:14656;2;13.11.2009;9632114
c:1766;1;01.07.2006;9531859
c:1766;2;04.07.2009;4182357
c:1766;3;29.12.2009;1850375
c:16938;1;28.07.2009;500000
c:83265;1;01.02.2011;6896878
c:83265;2;23.04.2012;2053122
c:23136;1;01.10.2007;38543524
c:23136;2;29.05.2009;9056596
c:23136;3;26.06.2009;5496321
c:23136;4;26.10.2010;2253559
c:54066;1;21.09.2005;4000000
c:17219;1;13.09.2007;3510086
c:17219;2;31.12.2008;6514969
c:17219;3;18.11.2009;486917
c:17219;4;09.09.2011;195809
c:17219;5;06.07.2012;56542
c:23234;1;29.05.2008;5500000
c:70586;1;13.04.2012;400000
c:26612;1;02.10.2007;46516686
c:26612;2;29.10.2007;2284253
c:26612;3;05.01.2010;5199061
c:57923;1;17.10.2005;32000000
c:58133;1;14.10.2005;13000000
c:5587;1;01.02.2005;7511837
c:5587;2;18.12.2005;4514256
c:5587;3;10.04.2006;473907
c:38338;1;08.05.2006;2861152
c:38338;2;28.09.2006;7288559
c:38338;3;02.10.2007;409745
c:38338;4;11.04.2012;27505114
c:4622;1;01.01.2007;2139808
c:4622;2;01.10.2008;3860192
c:202;1;17.11.2008;1231739
c:202;2;31.03.2011;3768261
c:15652;1;01.01.2000;23230896
c:15652;2;20.11.2001;28243048
c:15652;3;07.02.2007;7526056
c:144825;1;13.08.2012;1000000
c:9772;1;21.09.2009;600000
c:19101;1;01.11.2008;62552439
c:19101;2;20.02.2009;62447561
c:1612;1;01.11.2007;1079154
c:1612;2;09.12.2009;1670846
c:17620;1;01.12.2005;13281110
c:17620;2;25.09.2007;16718890
c:43873;1;05.01.2007;7000000
c:3986;1;31.05.2006;6100000
c:61592;1;13.04.2011;1484362
c:61592;2;11.08.2012;142303
c:61592;3;01.09.2012;473335
c:35236;1;01.11.2009;336998
c:35236;2;11.03.2010;2228002
c:31968;1;03.10.2007;2000000
c:27620;1;26.07.2005;5767546
c:27620;2;08.09.2007;4678928
c:27620;3;08.09.2008;11953526
c:9816;1;01.07.2006;6250000
c:52566;1;01.11.2011;575000
c:49236;1;01.08.2009;33687
c:49236;2;01.03.2010;19313
c:2234;1;01.12.2006;701070
c:2234;2;10.10.2008;8798930
c:3505;1;01.01.2009;3163379
c:3505;2;27.07.2010;336621
c:56989;1;10.07.2010;9491138
c:56989;2;29.10.2010;889270
c:56989;3;31.03.2011;119592
c:28482;1;03.10.2008;23320832
c:28482;2;17.03.2009;6374122
c:28482;3;20.05.2012;2713960
c:28482;4;30.05.2012;1841086
c:40324;1;06.09.2006;34934534
c:40324;2;14.10.2007;50046693
c:40324;3;15.08.2008;394623
c:40324;4;13.05.2009;1727
c:40324;5;20.07.2010;3534
c:1595;1;01.03.2006;74280650
c:1595;2;24.01.2007;9711405
c:1595;3;01.12.2007;16007945
c:31294;1;01.01.2008;83015
c:31294;2;01.07.2010;41985
c:43875;1;26.04.2005;3608091
c:43875;2;27.03.2007;6991909
c:16562;1;02.06.2006;3675750
c:16562;2;28.08.2008;19240552
c:16562;3;08.06.2009;3183698
c:18075;1;12.07.2007;30000000
c:86120;1;15.10.2011;99534
c:86120;2;16.10.2011;8920
c:86120;3;01.07.2012;24431
c:12173;1;08.05.2007;2948022
c:12173;2;16.10.2007;818257
c:12173;3;21.12.2010;5733721
c:44650;1;13.02.2006;18000000
c:70021;1;02.12.2011;690000
c:17660;1;01.03.2006;15612565
c:17660;2;07.08.2006;7623930
c:17660;3;02.01.2007;1895116
c:51745;1;12.07.2010;2000000
c:25324;1;01.08.2005;57352192
c:25324;2;03.07.2007;11155634
c:25324;3;23.08.2010;10242174
c:77;1;01.02.2007;9363823
c:77;2;15.06.2007;21825126
c:77;3;12.02.2008;8811631
c:77;4;26.05.2008;4883808
c:77;5;28.03.2011;3615612
c:1895;1;29.07.2005;15000000
c:16593;1;10.12.2007;34320206
c:16593;2;20.07.2009;5856708
c:16593;3;13.12.2009;2932229
c:16593;4;29.12.2011;13596905
c:16593;5;25.04.2012;17293952
c:16289;1;01.10.2005;13338637
c:16289;2;02.05.2007;1661363
c:575;1;01.01.2006;41626876
c:575;2;25.07.2007;1952725
c:575;3;01.12.2007;1420399
c:15562;1;01.05.2008;4410000
c:62432;1;01.01.2010;2663720
c:62432;2;24.11.2010;1836280
c:8100;1;02.09.2008;5144494
c:8100;2;28.11.2009;4149970
c:8100;3;14.10.2010;1745536
c:62262;1;19.11.2010;1600000
c:3686;1;01.06.2005;345146
c:3686;2;15.11.2005;8654854
c:82805;1;21.07.2011;551526
c:82805;2;09.06.2012;2583177
c:82805;3;23.11.2012;147624
c:196;1;01.03.2006;7919250
c:196;2;01.03.2006;16780750
c:28114;1;12.09.2007;3191035
c:28114;2;19.11.2008;5608965
c:13277;1;06.11.2008;1700000
c:63217;1;31.08.2010;20000
c:2534;1;08.02.2008;8658303
c:2534;2;02.12.2009;2841697
c:5264;1;23.04.2003;60159536
c:5264;2;27.05.2006;9253408
c:5264;3;21.08.2007;16992202
c:5264;4;20.09.2007;7574714
c:5264;5;15.07.2008;3486347
c:5264;6;03.01.2009;130940
c:5264;7;03.06.2010;572853
c:58512;1;23.03.2011;1350000
c:12957;1;16.07.2010;940261
c:34499;1;01.02.2009;1472661
c:34499;2;03.02.2011;2527339
c:34028;1;15.12.2009;5000000
c:23335;1;18.04.2009;20000
c:30526;1;11.01.2006;12500000
c:42519;1;05.05.2010;4168820
c:42519;2;26.06.2010;907961
c:42519;3;24.05.2011;1531819
c:42519;4;04.02.2012;537467
c:42519;5;27.08.2013;82637
c:48376;1;20.05.2010;31558200
c:48376;2;15.12.2011;23441800
c:15693;1;23.01.2006;13049379
c:15693;2;04.10.2006;2091638
c:15693;3;13.11.2007;262
c:15693;4;11.08.2010;38721
c:47587;1;07.05.2010;4741318
c:47587;2;06.06.2011;25258682
c:1669;1;10.07.2008;13442618
c:1669;2;01.09.2008;1057382
c:421;1;26.01.2011;6500000
c:155621;1;29.01.2012;15000
c:40782;1;24.03.2010;1394546
c:40782;2;21.08.2011;1119928
c:40782;3;12.05.2012;1352014
c:40782;4;30.11.2012;504685
c:40782;5;06.02.2013;334737
c:51306;1;21.10.2010;3000000
c:1088;1;31.10.2007;113370187
c:1088;2;17.07.2009;10157594
c:1088;3;24.08.2009;1484878
c:1088;4;24.09.2009;68003
c:1088;5;01.05.2011;151388
c:1088;6;01.01.2012;17950
c:34522;1;01.05.2008;1432378
c:34522;2;18.07.2008;12927
c:34522;3;15.03.2009;3953
c:34522;4;01.01.2012;740
c:83692;1;13.10.2011;920633
c:83692;2;10.04.2012;5079367
c:43831;1;23.01.2007;19901488
c:43831;2;29.04.2010;6188636
c:43831;3;25.03.2011;2109876
c:28428;1;23.09.2008;1862859
c:28428;2;17.06.2010;12137141
c:17974;1;28.01.2009;3000000
c:81475;1;08.07.2011;1883758
c:81475;2;07.10.2011;354297
c:76543;1;19.05.2011;817477
c:76543;2;13.12.2012;4382523
c:84161;1;19.08.2013;75000000
c:810;1;29.01.2007;4013116
c:810;2;25.05.2008;12606113
c:810;3;23.04.2010;43630
c:810;4;20.08.2010;7837141
c:16488;1;27.11.2006;1979643
c:16488;2;24.03.2009;1967335
c:16488;3;05.02.2010;529193
c:11042;1;27.02.2008;5272697
c:11042;2;12.10.2008;3522096
c:11042;3;28.01.2010;1605208
c:17633;1;08.03.2006;16354309
c:17633;2;07.03.2008;36289287
c:17633;3;17.02.2009;15756404
c:3187;1;05.12.2006;1175054
c:3187;2;18.08.2008;14024946
c:164922;1;15.08.2011;500848
c:164922;2;02.08.2012;389152
c:81886;1;12.07.2011;2600000
c:54585;1;13.11.2012;1226270
c:11507;1;25.09.2008;8728047
c:11507;2;14.04.2010;271953
c:24860;1;25.08.2008;885412
c:24860;2;20.09.2011;3085518
c:24860;3;02.10.2011;1356366
c:24860;4;15.02.2012;1882914
c:148750;1;28.09.2011;976956
c:148750;2;22.02.2012;14723044
c:45611;1;06.09.2005;5127604
c:45611;2;24.04.2006;9922396
c:4106;1;01.05.2007;2227364
c:4106;2;01.05.2009;1272636
c:17775;1;22.06.2006;39011203
c:17775;2;07.05.2007;3988797
c:144;1;01.03.2006;43674111
c:144;2;15.01.2008;13325889
c:13046;1;23.07.2008;1300000
c:40;1;01.07.2005;32007647
c:40;2;14.05.2007;24517692
c:40;3;03.07.2007;1712379
c:40;4;03.06.2008;11512282
c:26460;1;01.01.2004;14051032
c:26460;2;01.01.2006;448968
c:15887;1;31.01.2006;40323001
c:15887;2;01.08.2007;7676999
c:36742;1;01.12.2009;2019569
c:36742;2;09.11.2011;1488893
c:3962;1;06.06.2005;13930344
c:3962;2;05.12.2006;4262411
c:3962;3;23.07.2007;1307245
c:162116;1;20.06.2012;3750000
c:55044;1;01.08.2010;45000000
c:7207;1;24.01.2006;6694014
c:7207;2;08.06.2006;3584670
c:7207;3;10.07.2010;18319163
c:7207;4;22.10.2010;3902153
c:863;1;01.01.2002;3726427
c:863;2;01.07.2008;1173573
c:16066;1;20.04.2007;6051766
c:16066;2;18.03.2008;5948234
c:220;1;01.02.2006;1556130
c:220;2;29.01.2008;3602001
c:220;3;04.04.2008;2016869
c:54;1;01.02.2007;1496642
c:54;2;01.06.2007;3203358
c:9730;1;01.01.2008;120000
c:3122;1;08.06.2007;8822263
c:3122;2;21.03.2010;5862
c:3122;3;20.12.2010;1171875
c:36579;1;14.06.2005;27702172
c:36579;2;17.12.2005;6175485
c:36579;3;05.12.2008;3525156
c:36579;4;22.10.2010;1597187
c:43327;1;29.03.2005;593452
c:43327;2;11.01.2007;15506548
c:1789;1;01.04.2007;2844333
c:1789;2;01.02.2008;455667
c:38339;1;25.08.2010;750000
c:13410;1;11.11.2008;334141
c:13410;2;11.11.2008;665859
c:43915;1;30.04.2007;7410000
c:37712;1;21.11.2006;35204149
c:37712;2;19.01.2007;957204
c:37712;3;27.05.2010;16638647
c:3288;1;01.09.2005;583769
c:3288;2;27.11.2006;13970601
c:3288;3;11.02.2010;22445630
c:10179;1;19.01.2009;7433729
c:10179;2;23.06.2010;1592000
c:10179;3;26.08.2011;5204269
c:33869;1;21.09.2009;2959101
c:33869;2;09.06.2011;40899
c:21528;1;14.01.2009;20000000
c:30820;1;01.08.2009;519276
c:30820;2;06.12.2010;1480724
c:25782;1;26.10.2006;10097214
c:25782;2;02.02.2009;9802786
c:278;1;01.12.2007;1500000
c:75500;1;01.07.2009;325000
c:67806;1;17.02.2011;3500000
c:1212;1;01.01.2006;10161163
c:1212;2;24.07.2007;11917065
c:1212;3;19.03.2008;7554497
c:1212;4;20.05.2008;367275
c:31754;1;28.03.2007;50000000
c:25307;1;21.06.2009;2000000
c:1870;1;01.11.2006;55717184
c:1870;2;27.10.2007;7040441
c:1870;3;06.12.2009;1248763
c:1870;4;21.04.2010;4404746
c:1870;5;25.11.2010;1747507
c:1870;6;01.03.2011;1841359
c:27285;1;07.09.2005;11620152
c:27285;2;16.11.2006;3896592
c:27285;3;05.11.2009;12173803
c:48640;1;09.05.2006;9000000
c:18470;1;01.11.2008;7207866
c:18470;2;18.11.2009;292134
c:21395;1;11.09.2007;8837433
c:21395;2;01.07.2008;1162567
c:25132;1;11.06.2007;4837641
c:25132;2;01.07.2009;168110
c:25132;3;05.05.2011;256400
c:25132;4;04.09.2012;702849
c:72;1;01.01.2006;4000000
c:17429;1;20.02.2008;5000000
c:487;1;01.02.2005;11500000
c:40665;1;14.01.2010;1017910
c:40665;2;24.02.2011;32090
c:2972;1;01.03.2008;4655659
c:2972;2;08.05.2008;844341
c:1832;1;01.12.2007;3120385
c:1832;2;20.03.2008;221790
c:1832;3;01.12.2009;1657825
c:30173;1;13.12.2009;3508070
c:30173;2;17.08.2011;191930
c:17512;1;20.03.2007;6997748
c:17512;2;03.01.2009;2252
c:833;1;01.04.2006;20376676
c:833;2;01.03.2007;11623324
c:615;1;18.09.2007;5166300
c:615;2;22.03.2011;2118183
c:615;3;25.03.2011;615517
c:1731;1;01.12.2006;77513569
c:1731;2;29.07.2008;1839230
c:1731;3;19.11.2009;39191
c:1731;4;27.02.2011;414492
c:1731;5;10.07.2012;193518
c:39755;1;28.10.2009;5000000
c:134;1;01.01.2007;674275
c:134;2;09.03.2009;1425725
c:6313;1;14.02.2005;12451038
c:6313;2;12.08.2005;8623252
c:6313;3;02.07.2006;1051790
c:6313;4;24.04.2009;123920
c:107746;1;14.09.2011;209710
c:107746;2;30.08.2012;1765290
c:2566;1;01.01.2008;1000000
c:47440;1;06.05.2010;35000000
c:44;1;01.10.2005;80541732
c:44;2;04.08.2006;5382798
c:44;3;07.09.2007;1172176
c:44;4;28.06.2009;286915
c:44;5;07.08.2009;743991
c:44;6;04.10.2009;77404
c:44;7;28.12.2009;446117
c:30527;1;04.08.2005;26000000
c:83176;1;01.01.2011;100000
c:20488;1;01.06.2006;5000000
c:24570;1;31.10.2006;4227661
c:24570;2;21.04.2008;3072339
c:20506;1;01.01.2005;13809417
c:20506;2;29.06.2007;312900
c:20506;3;23.03.2009;49957683
c:69279;1;03.11.2011;5593569
c:69279;2;22.03.2012;206431
c:23192;1;01.01.2008;3792537
c:23192;2;08.02.2008;7366068
c:23192;3;31.08.2008;3907754
c:23192;4;01.10.2009;74433641
c:38;1;01.07.2007;3427418
c:38;2;09.01.2009;10105031
c:38;3;11.05.2010;7651002
c:38;4;01.03.2012;2166549
c:7376;1;08.06.2006;5022000
c:7376;2;16.09.2008;8478000
c:16070;1;08.05.2007;19545077
c:16070;2;14.02.2008;4954923
c:53814;1;08.08.2005;10000000
c:53831;1;06.01.2005;8500000
c:24040;1;29.05.2008;6000000
c:40762;1;01.11.2009;2000000
c:75008;1;12.07.2011;2372700
c:75008;2;08.05.2012;1727300
c:197;1;01.01.2005;6200000
c:3087;1;01.02.2007;5769811
c:3087;2;28.07.2008;6480189
c:23098;1;04.09.2006;5239478
c:23098;2;08.05.2008;6486122
c:45792;1;25.04.2005;12891288
c:45792;2;30.10.2006;3108712
c:37215;1;31.01.2009;2993341
c:37215;2;21.12.2010;873893
c:37215;3;28.12.2010;1189325
c:314;1;01.06.2005;100000
c:3991;1;01.01.2004;19208119
c:3991;2;15.05.2005;47040653
c:3991;3;18.08.2008;1951228
c:16892;1;01.02.2005;30462424
c:16892;2;03.04.2007;2326052
c:16892;3;21.04.2010;211524
c:38460;1;15.10.2010;3138247
c:38460;2;07.06.2011;80308
c:38460;3;20.04.2012;133639
c:64959;1;28.07.2011;1166380
c:64959;2;26.01.2012;1045620
c:36484;1;24.11.2009;19389399
c:36484;2;05.04.2010;239472
c:36484;3;21.10.2010;63433
c:36484;4;15.04.2011;107696
c:47270;1;01.12.2010;217629
c:47270;2;09.03.2011;4282371
c:17433;1;01.01.2008;7672853
c:17433;2;02.01.2008;6327147
c:144687;1;01.12.2011;100000
c:6592;1;10.05.2006;4140647
c:6592;2;05.06.2007;5759353
c:34545;1;01.01.2008;5409314
c:34545;2;03.11.2012;2023278
c:34545;3;22.01.2013;167408
c:17030;1;01.07.2008;50000
c:13358;1;01.01.2007;650000
c:10610;1;01.12.2008;7720350
c:10610;2;02.04.2009;76750
c:10610;3;23.09.2010;2702900
c:68470;1;21.06.2012;500000
c:10197;1;07.12.2004;22590957
c:10197;2;16.01.2007;1709043
c:33771;1;27.06.2006;12572220
c:33771;2;14.11.2006;5427780
c:437;1;26.12.2007;16544602
c:437;2;31.03.2009;6460668
c:437;3;15.11.2010;2994730
c:15870;1;01.04.2007;8861598
c:15870;2;13.01.2010;638402
c:20062;1;24.04.2007;16980999
c:281;1;01.01.2005;5000000
c:19869;1;01.12.2008;350000
c:8251;1;29.03.2007;9946561
c:8251;2;11.08.2007;139276
c:8251;3;18.12.2007;632133
c:8251;4;02.05.2008;2396262
c:8251;5;21.12.2010;15768
c:60243;1;28.10.2010;20000000
c:513;1;01.12.2006;4249887
c:513;2;06.03.2008;16684737
c:513;3;16.09.2009;5565376
c:19483;1;12.09.2005;3270623
c:19483;2;07.02.2006;11729377
c:49341;1;21.04.2006;2600000
c:31764;1;25.05.2006;8034396
c:31764;2;25.06.2008;7411760
c:31764;3;04.07.2009;942571
c:31764;4;11.01.2010;5081273
c:51969;1;01.05.2010;20000
c:1284;1;01.12.2006;142547
c:1284;2;01.08.2007;3457453
c:24029;1;01.03.2006;467651
c:24029;2;02.11.2006;465743
c:24029;3;03.02.2007;3614603
c:24029;4;10.07.2007;7600468
c:24029;5;04.06.2009;5026073
c:24029;6;25.10.2010;3680483
c:24029;7;30.07.2012;6444979
c:166772;1;02.08.2012;2600000
c:59709;1;21.10.2010;5000000
c:11888;1;03.10.2008;5933166
c:11888;2;22.03.2010;11066834
c:158294;1;14.05.2012;662000
c:58550;1;01.01.2010;1541143
c:58550;2;10.01.2011;2208857
c:4;1;01.10.2005;41735026
c:4;2;21.12.2006;1099264
c:4;3;28.09.2008;1411291
c:4;4;12.07.2011;754419
c:1475;1;19.09.2011;5684290
c:1475;2;10.09.2013;1015710
c:23134;1;06.03.2006;8343736
c:23134;2;29.06.2006;12193126
c:23134;3;17.11.2009;213138
c:453;1;01.03.2007;18155999
c:453;2;13.10.2010;823630
c:453;3;16.02.2011;8851
c:453;4;02.07.2013;11520
c:30;1;01.05.2006;18557829
c:30;2;28.10.2006;411272
c:30;3;01.06.2007;3530899
c:282;1;01.11.2005;6438083
c:282;2;21.01.2006;114748
c:282;3;05.06.2008;747169
c:6340;1;01.12.2005;15344
c:6340;2;22.12.2005;7826447
c:6340;3;24.07.2007;15560005
c:6340;4;05.07.2008;1870329
